club_id,status,name,relative_url,is_special
107845,ok,Grenoble Foot 38 U17,/grenoble-foot-38-u17/startseite/verein/107845,False
10787,ok,CS Marítimo B,/cs-maritimo-b/startseite/verein/10787,False
10789,ok,SC Braga B,/sc-braga-b/startseite/verein/10789,False
10790,ok,ASWH Ambacht,/aswh-ambacht/startseite/verein/10790,False
107907,ok,UC Santa Cruz Banana Slugs,/uc-santa-cruz-banana-slugs/startseite/verein/107907,False
10791,ok,Renova Dzepciste,/renova-dzepciste/startseite/verein/10791,False
107917,ok,US Orléans U17,/us-orleans-u17/startseite/verein/107917,False
107946,ok,Red Star FC U17,/red-star-fc-u17/startseite/verein/107946,False
107947,ok,Red Star FC Jugend,/red-star-fc-jugend/startseite/verein/107947,False
108,ok,SV Wehen Wiesbaden,/sv-wehen-wiesbaden/startseite/verein/108,False
1080,ok,Stade Lavallois,/stade-lavallois/startseite/verein/1080,False
108084,ok,Shaanxi Union,/shaanxi-union/startseite/verein/108084,False
1081,ok,CS Sedan-Ardennes,/cs-sedan-ardennes/startseite/verein/1081,False
108116,ok,Altitude FC,/altitude-fc/startseite/verein/108116,False
108121,ok,Jeanne d'Arc de Drancy U17,/jeanne-d-arc-de-drancy-u17/startseite/verein/108121,False
108122,ok,Jeanne d'Arc de Drancy Jugend,/jeanne-d-arc-de-drancy-jugend/startseite/verein/108122,False
108131,ok,Shenzhen Juniors,/shenzhen-juniors/startseite/verein/108131,False
10816,ok,Agia Napa,/agia-napa/startseite/verein/10816,False
1082,ok,LOSC Lille,/losc-lille/startseite/verein/1082,False
10820,ok,AJ Auxerre B,/aj-auxerre-b/startseite/verein/10820,False
10825,ok,FC Sochaux-Montbéliard B,/fc-sochaux-montbeliard-b/startseite/verein/10825,False
10826,ok,FC Sochaux-Montbéliard U19,/fc-sochaux-montbeliard-u19/startseite/verein/10826,False
108288,ok,Yanbian Longding Reserves,/yanbian-longding-reserves/startseite/verein/108288,False
1083,ok,FC Rostov,/fc-rostov/startseite/verein/1083,False
108310,ok,Olympique de Valence Jugend,/olympique-de-valence-jugend/startseite/verein/108310,False
108311,ok,EA Guingamp Jugend,/ea-guingamp-jugend/startseite/verein/108311,False
108323,ok,CF Monterrey II,/cf-monterrey-ii/startseite/verein/108323,False
108351,ok,CF Cubelles,/cf-cubelles/startseite/verein/108351,False
10838,ok,SAS Épinal,/sas-epinal/startseite/verein/10838,False
108389,ok,Istres Football Club U17,/istres-football-club-u17/startseite/verein/108389,False
108390,ok,Istres Football Club Jugend,/istres-football-club-jugend/startseite/verein/108390,False
1084,ok,Málaga CF,/malaga-cf/startseite/verein/1084,False
10840,ok,AS Nancy-Lorraine B,/as-nancy-lorraine-b/startseite/verein/10840,False
