url,land
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/j3-league/transfers/wettbewerb/JAP3/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/japan-football-league/transfers/wettbewerb/JFL/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Japan
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/k3-league/transfers/wettbewerb/K3L/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Südkorea
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/ettan-norra/transfers/wettbewerb/SE3N/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2025&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2024&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2023&s_w=&leihe=1&intern=0,Schweden
https://www.transfermarkt.de/superettan/transfers/wettbewerb/SE2/plus/?saison_id=2022&s_w=&leihe=1&intern=0,Schweden
